code,label
070654.2,Hip-Hop
070654.3,Hip-Hop
070654.1,Hip-Hop
070654.0,Hip-Hop
030487.1,Pop
030487.0,Pop
030487.2,Pop
030487.3,Pop
119025.1,Experimental
119025.0,Experimental
119025.2,Experimental
119025.3,Experimental
090527.2,Instrumental
090527.3,Instrumental
090527.1,Instrumental
090527.0,Instrumental
073779.0,International
073779.1,International
073779.3,International
073779.2,International
043843.0,Folk
043843.1,Folk
043843.3,Folk
043843.2,Folk
097037.2,Hip-Hop
097037.3,Hip-Hop
097037.1,Hip-Hop
097037.0,Hip-Hop
057968.2,Rock
057968.3,Rock
057968.1,Rock
057968.0,Rock
121474.1,Instrumental
121474.0,Instrumental
121474.2,Instrumental
121474.3,Instrumental
055826.3,International
055826.2,International
055826.0,International
055826.1,International
068683.3,Electronic
068683.2,Electronic
068683.0,Electronic
068683.1,Electronic
014604.3,International
014604.2,International
014604.0,International
014604.1,International
107913.3,Electronic
107913.2,Electronic
107913.0,Electronic
107913.1,Electronic
030056.1,Hip-Hop
030056.0,Hip-Hop
030056.2,Hip-Hop
030056.3,Hip-Hop
038905.0,Experimental
038905.1,Experimental
038905.3,Experimental
038905.2,Experimental
111933.0,Electronic
111933.1,Electronic
111933.3,Electronic
111933.2,Electronic
064990.1,Hip-Hop
064990.0,Hip-Hop
064990.2,Hip-Hop
064990.3,Hip-Hop
036560.2,Pop
036560.3,Pop
036560.1,Pop
036560.0,Pop
004786.3,Rock
004786.2,Rock
004786.0,Rock
004786.1,Rock
010807.0,Pop
010807.1,Pop
010807.3,Pop
010807.2,Pop
126319.0,Instrumental
126319.1,Instrumental
126319.3,Instrumental
126319.2,Instrumental
141264.3,Experimental
141264.2,Experimental
141264.0,Experimental
141264.1,Experimental
027856.1,Folk
027856.0,Folk
027856.2,Folk
027856.3,Folk
115775.3,Instrumental
115775.2,Instrumental
115775.0,Instrumental
115775.1,Instrumental
107956.3,International
107956.2,International
107956.0,International
107956.1,International
099411.0,Rock
099411.1,Rock
099411.3,Rock
099411.2,Rock
043063.3,Experimental
043063.2,Experimental
043063.0,Experimental
043063.1,Experimental
116446.3,Folk
116446.2,Folk
116446.0,Folk
116446.1,Folk
000574.3,Rock
000574.2,Rock
000574.0,Rock
000574.1,Rock
011239.1,Experimental
011239.0,Experimental
011239.2,Experimental
011239.3,Experimental
042238.1,International
042238.0,International
042238.2,International
042238.3,International
130921.1,Electronic
130921.0,Electronic
130921.2,Electronic
130921.3,Electronic
108533.1,Electronic
108533.0,Electronic
108533.2,Electronic
108533.3,Electronic
047666.0,Pop
047666.1,Pop
047666.3,Pop
047666.2,Pop
144424.0,Electronic
144424.1,Electronic
144424.3,Electronic
144424.2,Electronic
087193.1,Pop
087193.0,Pop
